Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
14-Jun-24,Friday,June,Q2,2024,EQ,3225.00,3275.00,3221.10,3224.80,3269.00,3261.75,3252.79,3743.90,2142.00,4224855.00,98091.00
13-Jun-24,Thursday,June,Q2,2024,EQ,3230.00,3254.00,3207.25,3219.05,3222.25,3224.80,3221.11,3743.90,2142.00,3202978.00,96083.00
12-Jun-24,Wednesday,June,Q2,2024,EQ,3224.90,3245.00,3208.00,3221.25,3209.00,3219.05,3226.61,3743.90,2142.00,3022477.00,74328.00
11-Jun-24,Tuesday,June,Q2,2024,EQ,3224.00,3265.00,3195.05,3220.10,3215.00,3221.25,3235.16,3743.90,2142.00,4173692.00,121200.00
10-Jun-24,Monday,June,Q2,2024,EQ,3267.00,3284.40,3205.50,3219.55,3212.30,3220.10,3247.80,3743.90,2142.00,4935698.00,152562.00
07-Jun-24,Friday,June,Q2,2024,EQ,3170.40,3233.75,3151.60,3185.65,3222.50,3219.55,3207.35,3743.90,2142.00,4740455.00,146457.00
06-Jun-24,Thursday,June,Q2,2024,EQ,3184.00,3222.40,3137.15,3115.35,3181.60,3185.65,3186.26,3743.90,2142.00,5873271.00,278600.00
05-Jun-24,Wednesday,June,Q2,2024,EQ,3030.00,3150.00,2750.00,2941.25,3093.00,3115.35,2958.33,3743.90,2142.00,8778345.00,612958.00
04-Jun-24,Tuesday,June,Q2,2024,EQ,3520.00,3520.00,2733.95,3645.25,2950.00,2941.25,3136.46,3743.90,2142.00,20306909.00,848267.00
03-Jun-24,Monday,June,Q2,2024,EQ,3725.00,3743.90,3586.05,3411.35,3660.10,3645.25,3659.12,3743.90,2142.00,8511359.00,414787.00
31-May-24,Friday,May,Q2,2024,EQ,3225.25,3434.45,3225.25,3194.25,3416.00,3411.35,3359.45,3457.85,2142.00,6384589.00,290001.00
30-May-24,Thursday,May,Q2,2024,EQ,3254.00,3274.30,3174.50,3258.80,3209.90,3194.25,3219.99,3457.85,2142.00,1990208.00,112565.00
29-May-24,Wednesday,May,Q2,2024,EQ,3250.00,3322.90,3212.00,3244.05,3255.00,3258.80,3270.30,3457.85,2142.00,1910729.00,98310.00
28-May-24,Tuesday,May,Q2,2024,EQ,3309.65,3329.50,3229.05,3289.05,3239.00,3244.05,3282.72,3457.85,2142.00,1621168.00,95508.00
27-May-24,Monday,May,Q2,2024,EQ,3358.00,3358.00,3267.05,3384.95,3295.05,3289.05,3307.40,3457.85,2142.00,2582485.00,140021.00
24-May-24,Friday,May,Q2,2024,EQ,3406.00,3457.85,3355.60,3387.30,3381.00,3384.95,3409.34,3457.85,1983.40,3473668.00,179402.00
23-May-24,Thursday,May,Q2,2024,EQ,3156.70,3406.00,3135.55,3140.95,3398.20,3387.30,3302.83,3406.00,1983.40,6979082.00,327015.00
22-May-24,Wednesday,May,Q2,2024,EQ,3129.95,3145.00,3073.50,3117.50,3137.00,3140.95,3121.08,3350.00,1983.40,3371077.00,95242.00
21-May-24,Tuesday,May,Q2,2024,EQ,3067.90,3175.00,3034.50,3059.75,3110.00,3117.50,3123.72,3350.00,1983.40,3091659.00,135865.00
18-May-24,Saturday,May,Q2,2024,EQ,3074.00,3074.00,3055.00,3060.50,3061.00,3059.75,3064.28,3350.00,1857.75,74336.00,5248.00
17-May-24,Friday,May,Q2,2024,EQ,3041.05,3091.00,3015.50,3041.65,3057.00,3060.50,3053.08,3350.00,1857.75,825436.00,74283.00
16-May-24,Thursday,May,Q2,2024,EQ,3065.00,3076.95,2974.95,3049.75,3034.05,3041.65,3022.05,3350.00,1857.75,1835312.00,144012.00
15-May-24,Wednesday,May,Q2,2024,EQ,3046.75,3118.85,3037.60,3037.55,3047.00,3049.75,3074.65,3350.00,1857.75,1688836.00,93983.00
14-May-24,Tuesday,May,Q2,2024,EQ,2894.95,3046.00,2874.55,2879.60,3035.00,3037.55,2995.85,3350.00,1857.75,5725807.00,196967.00
